start_point,initial_objective,final_objective,improvement,success,iterations,final_parameters,aₕ,bₕ,c₀,μ,χ,ν,ψ₀,ϕ,κ₀
1,942.5773984572735,650.8158782937898,291.76152016348374,false,2,"[1.5714087805606658, 1.0930078058826707, 0.02611916402179768, 0.003998902359038344, 11.010057139464875, 0.6531392801074976, 0.27293579622529596, 1.2051155260904085, 128.01155826407006]",1.5714087805606658,1.0930078058826707,0.02611916402179768,0.003998902359038344,11.010057139464875,0.6531392801074976,0.27293579622529596,1.2051155260904085,128.01155826407006
2,990.3326265438444,629.2927166816695,361.0399098621749,false,2,"[1.4297974142337708, 1.0316869126040495, 0.0005930813986062047, 0.00569838836114267, 6.392463826150188, 0.7095247860900398, 0.29648737909899225, 1.1989987669405784, 120.28048338531592]",1.4297974142337708,1.0316869126040495,0.0005930813986062047,0.00569838836114267,6.392463826150188,0.7095247860900398,0.29648737909899225,1.1989987669405784,120.28048338531592
3,824.2989429756832,619.4425342419808,204.85640873370244,false,2,"[1.5651664951851572, 1.0784141775119844, 0.02570971306753271, 0.0051243626356331845, 8.414551252305543, 0.6496215653950335, 0.2920303711204508, 1.1823194725992936, 117.93484807873224]",1.5651664951851572,1.0784141775119844,0.02570971306753271,0.0051243626356331845,8.414551252305543,0.6496215653950335,0.2920303711204508,1.1823194725992936,117.93484807873224
4,1011.7645564873476,614.3186355670251,397.44592092032246,false,2,"[1.513847905450917, 1.106269749727959, 5.0e-5, 0.005431508469694381, 9.786031394457954, 0.7364544054365628, 0.29240475216326545, 1.1992964286514227, 118.64588369254568]",1.513847905450917,1.106269749727959,5.0e-5,0.005431508469694381,9.786031394457954,0.7364544054365628,0.29240475216326545,1.1992964286514227,118.64588369254568
5,782.095669879402,606.6774460513765,175.41822382802548,false,2,"[1.6130337449599055, 1.0816714227407203, 0.06505597990230877, 0.005056370268770801, 7.025643444410607, 0.5927126293849522, 0.3043339911664085, 1.1444337054965792, 132.7292132343396]",1.6130337449599055,1.0816714227407203,0.06505597990230877,0.005056370268770801,7.025643444410607,0.5927126293849522,0.3043339911664085,1.1444337054965792,132.7292132343396
6,1030.881681802229,673.6358730868145,357.24580871541446,false,2,"[1.5634409601687176, 1.0820259882038505, 0.03874046005907423, 0.004701540573528211, 9.729710528642698, 0.6099957682340397, 0.28393140918302856, 1.1971676688578898, 157.8532941515997]",1.5634409601687176,1.0820259882038505,0.03874046005907423,0.004701540573528211,9.729710528642698,0.6099957682340397,0.28393140918302856,1.1971676688578898,157.8532941515997
7,893.5215961655074,630.7693183192206,262.7522778462868,false,2,"[1.5513359519861711, 1.078138554276538, 0.0004190632393994896, 0.005105530671163404, 12.0, 0.8008746387863194, 0.2880668465009174, 1.1795472974702164, 125.19974069267866]",1.5513359519861711,1.078138554276538,0.0004190632393994896,0.005105530671163404,12.0,0.8008746387863194,0.2880668465009174,1.1795472974702164,125.19974069267866
8,864.8038482832483,654.9790196000102,209.82482868323802,false,2,"[1.5276701413953542, 1.0723928078719311, 0.02521837186365827, 0.0051215135101672455, 10.41087549799644, 0.5758791224700369, 0.3267615794223308, 1.0857309469425063, 128.13251382560753]",1.5276701413953542,1.0723928078719311,0.02521837186365827,0.0051215135101672455,10.41087549799644,0.5758791224700369,0.3267615794223308,1.0857309469425063,128.13251382560753
9,846.7274852011179,631.6329108063155,215.0945743948024,false,2,"[1.720860557380176, 1.2587043527567112, 0.025075, 0.005103925451941962, 9.162267824511936, 0.5822029313554857, 0.29110926623862904, 1.172848678726356, 123.43850684843483]",1.720860557380176,1.2587043527567112,0.025075,0.005103925451941962,9.162267824511936,0.5822029313554857,0.29110926623862904,1.172848678726356,123.43850684843483
10,1060.0573040397942,596.9912999946799,463.06600404511425,false,2,"[1.5582295442586356, 1.0770525709037722, 0.00023813701596822257, 0.005108187647338447, 7.856657866046169, 0.7386136697133117, 0.2911852611332686, 1.1733810430812355, 123.18130409667324]",1.5582295442586356,1.0770525709037722,0.00023813701596822257,0.005108187647338447,7.856657866046169,0.7386136697133117,0.2911852611332686,1.1733810430812355,123.18130409667324
